"paragraph","label"
"各位仙家弟子：","开头"
"《古剑奇谭网络版》将于2025年2月6日5:30进行例行停机维护。","开头"
"“共华年”大区全服预计10:00开启。","开头"
"在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次维护，更新内容如下：","开头"
"☆商城更新","商城更新"
">>“元宵礼包”【礼包·繁焰灯宵】限时上架通宝商城","商城更新"
"限时上架时间：2025年2月6日6时~2月13日6时","商城更新"
"【礼包·繁焰灯宵】包含：挂饰【汤泉·暖暖灯宵】*1、【烟花繁霁匣】*1、【烟花·鱼龙跃金涛】*1，另有赠品-【彤福袋】*1。","商城更新"
"↑↑↑挂饰【汤泉·暖暖灯宵】↑↑↑","商城更新"
"↑↑↑汤泉效果↑↑↑","商城更新"
"礼包相关说明：","商城更新"
"*  单账号仅可为自己购买一次【礼包·繁焰灯宵】。","商城更新"
"*  使用【烟花繁霁匣】道具，可在烟花[粉黛摇花影]与[清晖照松萝]中任选其一。","商城更新"
"*【彤福袋】使用规则：","商城更新"
"元宵活动期间，购买“元宵礼包”【礼包·繁焰灯宵】可以获得额外赠品【彤福袋】*1。","商城更新"
"和任意玩家组队，使用彤福袋，红包主人和队友可各自领取一份随机金额的绑定通宝奖励，更有机会获得稀有大奖。","商城更新"
"注：每个彤福袋最多可领取五份奖励，彤福袋将在活动结束两周后过期。","商城更新"
">>坐骑【妙乐迦天】【无量香音】【怒日非天】享限时折扣","商城更新"
">>【妙乐迦天】","商城更新"
"取九霄云气与天极霓光所制宝物，广带舒卷间，流转的彩云之气，便似携着无数天花与金莲，纷纷而至。","商城更新"
">>【无量香音】","商城更新"
"世间那万千歌舞妙音，合缀而成的宝物，携之腾天时，似乎还能闻见梦里才会出现的美妙异香。","商城更新"
">>【怒日非天】","商城更新"
"将汹涌日光敛聚作绸，再配上修仙之人败退妖邪时的如火忿怒，锻造而成这般似有动地之威的飞行法器。","商城更新"
"限时折扣时间：2025年2月6日6时~2月13日6时","商城更新"
"☆活动更新","活动更新"
">>【赏灯解谜】活动开启","活动更新"
"上元时节，十里游人接踵，万盏华灯竞辉，真是好不热闹！为庆此佳节，博物学会精心准备了若干谜题附于花灯之上，不知仙家弟子们可以解出几道呢？","活动更新"
"维护期间给您带来的不便，敬请谅解。","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2025年2月5日","署名/结尾"
"各位仙家弟子：","开头"
"《古剑奇谭网络版》将于2025年1月30日5:30进行例行停机维护。","开头"
"“共华年”大区全服预计10:00开启。","开头"
"在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次维护，更新内容如下：","开头"
"☆活动更新","活动更新"
">>可开启【年年有余】礼盒！","活动更新"
"维护期间给您带来的不便，敬请谅解。","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2025年1月29日","署名/结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月23日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次维护，更新内容如下：","开头"
"☆商城更新","商城更新"
"商城春节活动开启，共庆新禧！","商城更新"
">>异色发返场","商城更新"
"发型【天衣·财如晓日】","商城更新"
"发型【桃源芳梦】","商城更新"
"异色发型【天衣·财如晓日】、【桃源芳梦】限时返场通宝商城。","商城更新"
"活动时间：2025年1月23日6时~2月6日6时","商城更新"
">>龙坐骑返场","商城更新"
"坐骑【千秋星蜃】","商城更新"
"坐骑【光阴倏影】【亘古雷音】","商城更新"
