"各位仙家弟子：《古剑奇谭网络版》将于2024年11月7日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次维护更新内容如下：","问候语"
"☆商城更新","商城更新"
">>【双十一龙亏节】活动开启！","商城更新"
"外装论斤卖，支持跨体型选购，双十一小龙人又亏惨啦！","商城更新"
"活动时间：11月10日0:00-11月12日23:59。","商城更新"
"通过商城中的龙亏节按钮可以进入活动。","商城更新"
"活动期间，参与活动的商品将被标出斤数，仙家弟子可以选择合适的商品搭配，加入龙亏篮中。通过结算龙亏篮，可以直接获得龙亏篮中的所有商品。","商城更新"
"龙亏篮分为三个等级，每个龙亏篮最多只可以购买一次。","商城更新"
"初级龙亏篮：售价2880通宝，可以放下30斤的商品，购买后还可以额外获赠6000分钟的游戏时长。","商城更新"
"中级龙亏篮：售价5880通宝，可以放下65斤的商品，购买后还可以额外获赠12000分钟的游戏时长、188尘晶。","商城更新"
"高级龙亏篮：售价8000通宝，可以放下90斤的商品，购买后还可以额外获赠16000分钟的游戏时长、388尘晶、1时晶。","商城更新"
">>商城1.5倍积分活动开启","商城更新"
"活动时间：2024年11月7日更新维护后~2024年11月21日更新维护前。","商城更新"
"☆活动更新","活动更新"
">>化解孤鸾煞","活动更新"
"活动时间：2024年11月7日更新维护结束后至2024年11月28日更新维护结束前。","活动更新"
"世有孤鸾煞，可令犯煞者在一段时日内寡情谊少良缘，直至心灰意冷。然而此煞并非无破解之法，只要有心寻找，机缘顺遂，自然可破。","活动更新"
"维护期间给您带来的不便，敬请谅解！","问候语"
"祝大家游戏愉快！","问候语"
"《古剑奇谭网络版》项目组","署名"
"2024年11月6日","结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2024年10月31日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次维护更新内容如下：","问候语"
"☆活动更新","活动更新"
">>【金番瓜盛筵】活动开启","活动更新"
"枫叶渐红，秋意愈浓，长安胡人区的哈勒维恩近日越发忙碌，似乎是在筹备什么宴会的时候遇到了一点麻烦，赶紧去看看吧。","活动更新"
"维护期间给您带来的不便，敬请谅解！","问候语"
"祝大家游戏愉快！","问候语"
"《古剑奇谭网络版》项目组","署名"
"2024年10月30日","结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2024年10月24日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次维护更新内容如下：","问候语"
"☆商城更新","商城更新"
"【侠影藏锋】商城外观主题活动开启！","商城更新"
">>【礼包·侠影藏锋】限时上架通宝商城","商城更新"
"礼包内含：动态头衔·侠影藏锋、特效披风·侠气纵横、挂饰·夷险应承、挂饰·茕弱应挽、挂饰·恶佞应斩、挂饰·留光焰、挂饰·庇苍生、时晶*2。","商城更新"
">>异色发型限时返场","商城更新"
">>【侠影藏锋】主题外观限时折扣&时晶兑换","商城更新"
"【天衣·逍遥五岳】【天衣·尽纵昏晓】【天衣·捣寒凌香】【与君歌】【影刃】【桑下箓】【燕歌行】【幻夜曲】【森罗行】【玉律】【云诡波谲】系列外装、挂饰【呱大桩】【软玉鞭】【龙蛇剑】【凌寒剑】【双成剑】【霜雪吴钩】、坐骑【横光承影】【五阴嗔面】、武器【无相·夜贯星芒】、礼包【魅影潜踪】 【瀚海偃心】。","商城更新"
"【天衣·逍遥五岳】【天衣·尽纵昏晓】【天衣·捣寒凌香】【与君歌】【影刃】【桑下箓】【燕歌行】【幻夜曲】【森罗行】【玉律】【云诡波谲】系列外装、挂饰【呱大桩】【软玉鞭】【龙蛇剑】【凌寒剑】【双成剑】【霜雪吴钩】、坐骑【横光承影】【五阴嗔面】、武器【无相·夜贯星芒】。","商城更新"
">>坐骑【墨绶炎驹】返场积分商城","商城更新"
"☆活动更新","活动更新"
">>【侠影藏锋】活动开启","活动更新"
"博物学者在游历途中，常将见到的风土人情以留影载册的形式记录下来，并将这些珍贵的影像记录大方赠予上进勤学的弟子，以资向学之人，扬勤学之风。","活动更新"
"活动时间：2024年10月24日更新后~2024年11月21日更新前","活动更新"
"活动期间，每周依次开放一轮任务，共四轮。完成任务进度，进入下一轮任务。","活动更新"
"本活动的任务完成状态为账号共享。完成活动任务可获得【时晶】【尘晶】奖励。","活动更新"
"往期活动奖励【头像·光焰万年】、【动态头像框·铸得星斗】以及【影焰】系列表情包-【影焰·大怒】、【影焰·惊诧】、【影焰·无语】、【影焰·得意】、【影焰·大喜】上架引道商店。","活动更新"
"维护期间给您带来的不便，敬请谅解！","问候语"
"祝大家游戏愉快！","问候语"
"《古剑奇谭网络版》项目组","署名"
"2024年10月23日","结尾"
"各位仙家弟子：","开头"
"《古剑奇谭网络版》将于2021年12月16日5:30进行例行停机维护。","问候语"
"“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","问候语"
"本次维护更新内容如下：","问候语"
"☆商城更新","商城更新"
"通宝商城上架坐骑【迎冬·祥祥】【迎冬·欢欢】，购买即赠熊猫照影与名帖。","商城更新"
"☆活动更新","活动更新"
"冬至活动","活动更新"
"活动时间：2021.12.16~2022.1.6","活动更新"
"【幻雪之境】","活动更新"
"艾汐梨有一位可爱的朋友，但它没手和脚，还不会说话，一个人孤零零的，希望有人能陪伴它，前往步云洲挂剑台找艾汐梨（-225，3）接取任务。","活动更新"
"【冬至快乐】","活动更新"
"客旅长安的胡人赫皮纽耶打算邀请同在长安的族人及有兴趣的朋友前往胡人区，一起共度节日，而同在胡人区的马力库斯莫斯近来也很是忙碌，似乎是在准备迎接什么节日，不妨找个时间去那边转转。","活动更新"
"【清雪祛浊】","活动更新"
"苍骨退去，重归平静的步云洲降下了今冬的第一场雪。初雪携带的寒清之气对浊气有一定的压制之效，秦陵之盟顺势在千叶莲台分立众宗门的雪人化形，借寒清之气祛除浊气。凡秦陵弟子，均可参与其中，不断壮大本门雪人化形。","活动更新"
"【戏雪怡情】","活动更新"
"在步云洲节日活动商【何思诺】处购买两个节日道具【衍雪精】，将其赠予出现在长安或江都的门派特殊雪人，可获得增加福缘的增益效果【冬日暖意】。对单个雪人累计送礼满3次，可获得该雪人对应变身藏品。使用藏品后，玩家即可变为对应的雪人。此外，拥有该藏品的玩家还可在参加活动【步云雪境】、【怀秀村·幻雪】、【真实之境·幻雪】时幻化成相应的雪人模样。","活动更新"
"☆职业调整","职业调整"
"概述：本次对各职业部分技能问题进行了修复，并对部分技能效果进行了优化和调整。12月23日更新将会基于各职业专精在秘境和竞技场中的战斗表现对技能效果和数值进行平衡性调整。","职业调整"
"通用调整","职业调整"
"修复在施法距离范围内因高度差过大导致无法攻击选中目标的问题","职业调整"
"适当降低了输出专精的帝剑特技所造成的仇恨效果","职业调整"
"修复职业铃客组队增益效果未生效的问题","职业调整"
"斩风","职业调整"
"弹铗九问","职业调整"
"修复了云无踪描述不正确的问题","职业调整"
"酩酊诀","职业调整"
"修复星韵特技【燕化影】在场上仍有“白虹化影”时，额外生命值加成不正确的问题","职业调整"
"妙法","职业调整"
"三十六章","职业调整"
"修复释放【木佛渡火】时有概率移除“焦尾流泉”的问题","职业调整"
"洞渊书","职业调整"
"修复“青蘋引风”未正确触发的问题","职业调整"
"咒隐","职业调整"
"窈冥蛊咒","职业调整"
"修复幽冥生灭·永隔伤害生效范围有时不正确的问题","职业调整"
"圣佑血祭","职业调整"
"圣佑血祭：修复星蕴特技【身寄三途】蛊雾扩散异常的问题","职业调整"
"珑瑛·灵瑛","职业调整"
"灵玉金刀","职业调整"
"修复【阵列三奇】无法清除【虚室无尘】冷却时间","职业调整"
"异芳","职业调整"
"通用","职业调整"
"不符合收服规则的目标将不再可收入【幻形剪纸】，同时【幻形剪纸】内若已收入不符合收服规则的目标将重置为绑定状态","职业调整"
"铃客","职业调整"
"素脉真藏","职业调整"
"概述：对【当归寄野】的释放关注度及治疗的有效性进行调整，并对【王孙无苦】和【送香蒲】的治疗定位进行明确区分","职业调整"
"【五味徐来】技能选中友方目标时可施展【五味徐来·助】，使友方下次攻击敌对目标时为目标施加“五味徐来”效果。","职业调整"
"【辛夷皆芳】的特效现在不会被屏蔽。","职业调整"
"提高【素脉续断】、【苋陆无咎】、【五味徐来】的优先级。","职业调整"
"修复【祈生颂·繁枝】连续释放生效次数不对的问题。","职业调整"
"【缀林兰】调整招式释放所需时间，增加保护防止连续按键误触。","职业调整"
"【黄公怜青】在非“木木祈生颂”状态期间也可为【祈生颂·繁枝】充能。","职业调整"
"【当归寄野】现在可以充能2层，招式效果修改为战斗状态时自身造成的治愈之力（有效治疗、护盾）按照25%比例收集，达成一定比例后将为招式充能1层，施放招式将存储的治愈之力释放出来，对自身25米范围内的友方目标进行治疗（*若范围内有生命值未满的友方，则只对生命值未满的友方进行分摊治疗）。","职业调整"
"【采金沸】基础治疗人数提高至6人，每段蓄力选择的目标人数提高至6人，蓄力最大段数降低至2段。","职业调整"
"星蕴特技【金雪飘蓬】效果调整为采金沸蓄力速度提高50%，不再降低蓄力段数和提高每段目标选择人数。","职业调整"
"【王孙无苦】改为引导技能，现在会随着急速而影响招式的施法时间与治疗效果的触发间隔。主目标基础治疗效果降低50%，法力消耗降低至130点。额外增加效果对友方目标进行治疗时额外对此目标25米范围内生命最低的2名友方进行治疗。","职业调整"
"【送香蒲】法力消耗提高至80点，基础治疗效果提高41.6%","职业调整"
"【缀林兰】造成的效果“兰自香”对【送香蒲】的治疗效果额外加成调整至80%","职业调整"
"星蕴特技【风旋复】优化描述。","职业调整"
"适当优化【送香蒲】、【王孙无苦】、【缀林兰】技能音效。","职业调整"
"修复【化青羽】、【小廉戏云】没有音效的问题。","职业调整"
"☆斗法调整","斗法调整"
"铭锋论剑","斗法调整"
"铭锋论剑赛季开启进行铭锋论剑可提升匹配分、进行战旅铭锋论剑可提升战旅分，同时仙家弟子已获得的【铭锋论剑头衔】将根据多个专精匹配分的最高分自动变化，头衔的形态可以在【斗法-铭锋-赛季界面】预览。","斗法调整"
"1、铭锋论剑修改为，不同专精拥有单独的匹配分，在匹配时按照所选专精匹配分进行匹配。在进入匹配时需要选择您将用于匹配的专精，同时可以查看不同专精的胜率和专精战阶榜排名。","斗法调整"
"2、添加按照问道玩家专精匹配分进行排名的问道专精榜。掉出凌虚问道者将从榜上移除。","斗法调整"
"3、根据匹配分数变化的可升级头衔和铭锋剑绩周上限和胜利加成、以及战旅中匹配和显示的个人战阶分，按照当前角色的多个专精匹配分的最高值计算。","斗法调整"
"4、排名奖励修改为：斗法单专精职业（天罡、斩风、珑君、灵瑛、朝弦）为问道专精榜前12，斗法双专精职业为本职业两个问道专精榜的前6，战旅榜前6成员可获高级动态头衔；战旅榜前30可获动作奖励；问道专精榜所有人可获普通动态头衔。","斗法调整"
"其他","斗法调整"
"增加战盟资金、所有成员可直接充值，修复斗法装备时可使用战盟资金，会长可以在权限管理中调整成员使用的战盟资金上限。战盟强制敌对消耗金钱改为消耗战盟资金。","斗法调整"
"开放燃锋夺阵，拍卖物品中添加阵营挂饰【玄朔噬夜铠】（天玄教）、【银锋镇邪铠】（神一道天），武器和信物【斗胜】系列道具替换为【制胜】系列道具，可强化480的斗法装备至最高8级。","斗法调整"
"开放战盟活动诛邪定楚洲，拍卖的【斗胜】系列道具替换为【制胜】系列道具，可强化480的斗法装备至最高8级。接引人玉杨、领赏人薛峻将会出现在【步云洲·战乱】的瑶天殿右侧。","斗法调整"
"因技术原因，战盟活动【玉轮星阵】将延后开放。","斗法调整"
"☆秘境调整","秘境调整"
"普通难度【天录馆】移除【日轮璜】、【月弦璜】掉落。","秘境调整"
"1.调整了天录馆秘境首领【杨用闲】和【凶剑煌灭】的顺序。","秘境调整"
"2.调整了天录馆秘境中“天书境”中的天气。","秘境调整"
"“玉轮铃音”版本秘境难度解锁：","秘境调整"
"四海天狱【普通】难度将在12月16日开服后开启，天录馆，四海天狱【困难】难度将在12月16日中午12时开启。","秘境调整"
"☆通用调整","通用调整"
"玉轮仙藏场景中没有掉落奖励的怪物生命值将显示为灰色，该部分怪物将同时不会增加龙星路域通【野外讨伐】认知度目标的计数；有掉落奖励的怪物将在血条左边显示小锦囊图标。","通用调整"
"修复龙星路域通部分认知度目标记录异常的问题：包括【琼实园·仙府收获·周常】、【青泠玉山·野外挑战】、【青泠玉山·玉轮任侠·初】。","通用调整"
"修复任务“初识万事阁”交付后未获得【衔云令】，以及后续引导异常的问题。","通用调整"
"玉轮铃音·签到活动中，第拾壹天与第拾贰天的奖励分别修正为浮青珏·暖华*16、旧悟叩心石*1。","通用调整"
"修复主题节任务中完成普通难度小型秘境未增加进度的问题。","通用调整"
"优化装备提升中红点提升的问题，现在会正确指示装备的可提升选项。","通用调整"
